file_name,file_code,parameter,orig_variable_code,variable_code,Unit,type_variable,classes,range,valid_values,missing_values,missing_pop,del,metadati_fattori,metadati_normalizzazione,Unnamed: 14,Unnamed: 15
,CSFALPHASYN,,ALPHA_SYN,ALPHA_SYN,luminex,<class 'numpy.float64'>,,"12.24, 0.1",389.0,0.0,pop not found,keep,,,,
,CSFALPHASYN,,,VISIT_MONTH,,<class 'numpy.int64'>,0,"0.0, 0.0",389.0,0.0,pop not found,keep,,,,
,CSFALPHASYN,,,METHOD,,<class 'str'>,luminex,,389.0,0.0,pop not found,keep,,,,
,CSFALPHASYN,,,Npositive,,<class 'numpy.int64'>,"0, 1","1.0, 0.0",389.0,0.0,pop not found,keep,,,,
,CSFALPHASYN,,,VISIT_MONTH,,,,,,,,,,,,
,CSFALPHASYN,,,METHOD,,,,,,,,,,,,
,CSFALPHASYN,,,VISIT_MONTH,,,,,,,,,,,,
,CSFALPHASYN,,,METHOD,,,,,,,,,,,,
,BLENNOWCSFNFL,,RID,RID,,<class 'numpy.int64'>,,"1423.0, 3.0",399.0,0.0,pop not found,keep,,,,
,BLENNOWCSFNFL,,VISCODE,VISCODE,,<class 'str'>,bl,,399.0,0.0,pop not found,keep,,,,
,BLENNOWCSFNFL,,EXAMDATE,EXAMDATE,,<class 'datetime.date'>,,,399.0,0.0,pop not found,keep,,,,
,BLENNOWCSFNFL,,CSFNFL,NFL_CSF,,<class 'numpy.int64'>,,"12647.0, 405.0",399.0,0.0,pop not found,keep,,,,
,BLENNOWCSFNFL,,COMMENTS,COMMENTS,,<class 'str'>,"nan, reddish CSF, samples received thawed",,9.0,390.0,pop not found,drop,,,,
,BLENNOWCSFNFL,,,VISIT_MONTH,,<class 'numpy.int64'>,0,"0.0, 0.0",399.0,0.0,pop not found,keep,,,,
,BLENNOWCSFNFL,,,METHOD,,<class 'str'>,elisa,,399.0,0.0,pop not found,keep,,,,
