file_name,file_code,parameter,orig_variable_code,variable_code,Unit,type_variable,classes,range,subj_tot,subj_multiple_visits,valid_values,missing_values,missing_pop,del,metadati_fattori,metadati_normalizzazione,Unnamed: 14,Unnamed: 15,population
Key ADNI tables merged into one table,ADNIMERGE,Volume,['Entorhinal'],Entorhinal%ICV,,<class 'numpy.float64'>,None,"0.5362419006479481, 0.06102770006193538",2239.0,1727.0,7746.0,3712.0,ADNI4,keep,predittore,volume,,,
Key ADNI tables merged into one table,ADNIMERGE,Volume,['Fusiform'],Fusiform%ICV,,<class 'numpy.float64'>,None,"1.9521513461884874, 0.5258702855589544",2239.0,1727.0,7746.0,3712.0,ADNI4,keep,predittore,volume,,,
Key ADNI tables merged into one table,ADNIMERGE,Volume,['MidTemp'],MidTemp%ICV,,<class 'numpy.float64'>,None,"2.060790383909134, 0.5494916132765179",2239.0,1727.0,7746.0,3712.0,ADNI4,keep,predittore,volume,,,
Key ADNI tables merged into one table,ADNIMERGE,Volume,['ICV'],ICV%ICV,,<class 'numpy.float64'>,"100.0, nan","100.0, 100.0",2348.0,1930.0,9306.0,2152.0,ADNI4,keep,predittore,volume,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,ID,RID,RID,,<class 'numpy.int64'>,None,"5296.0, 3.0",1245.0,0.0,1245.0,0.0,"ADNI3, ADNI4",keep,,,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Cohort,PHASE,COHORT,,<class 'str'>,"ADNI1, ADNIGO, ADNI2",None,1245.0,0.0,1245.0,0.0,"ADNI3, ADNI4",keep,,,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Visit,VISCODE2,VISCODE,,<class 'str'>,"m12, m60, m24, bl, m84, m48, m72, m36",None,1245.0,0.0,1245.0,0.0,"ADNI3, ADNI4",keep,,,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Visit,DRAWDATE,EXAMDATE,,<class 'str'>,"2006-09-13, 2006-11-28, 2006-09-06, 2006-09-20, 2006-11-10",None,1245.0,0.0,1245.0,0.0,"ADNI3, ADNI4",keep,,,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Education,PHC_Education,EDUCAT,,<class 'numpy.int64'>,None,"20.0, 4.0",1245.0,0.0,1245.0,0.0,"ADNI3, ADNI4",keep,cofattore,,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Age,PHC_Age_Biomarker,AGE,,<class 'numpy.float64'>,None,"95.76, 54.76",1245.0,0.0,1245.0,0.0,"ADNI3, ADNI4",keep,,,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Abeta,AB42_RAW,AB42_CSF,,<class 'numpy.float64'>,None,"374.0, 75.3",1242.0,0.0,1242.0,3.0,"ADNI3, ADNI4",keep,,,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Abeta,PHC_AB42,AB42_CSF_z,,<class 'numpy.float64'>,None,"2.62575583932457, -2.50491980032413",1242.0,0.0,1242.0,3.0,"ADNI3, ADNI4",keep,,,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Tau,Tau_RAW,TTAU_CSF,,<class 'numpy.float64'>,None,"330.0, 18.4",1212.0,0.0,1212.0,33.0,"ADNI3, ADNI4",keep,,,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Tau,PHC_Tau,TTAU_CSF_z,,<class 'numpy.float64'>,None,"2.66834693328626, -2.75390285653023",1212.0,0.0,1212.0,33.0,"ADNI3, ADNI4",keep,,,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Tau,pTau_RAW,PT181_CSF,,<class 'numpy.float64'>,None,"170.0, 6.9",1238.0,0.0,1238.0,7.0,"ADNI3, ADNI4",keep,,,,,
