file_name,file_code,parameter,variable_code,Unit,type_variable,classes,range,valid_values,missing_values,missing_pop,del,metadati_fattori,metadati_normalizzazione,Unnamed: 14,Unnamed: 15
,UCBERKELEY_TAU_6MM,,CTX_FUSIFORM_SUVR,,<class 'numpy.float64'>,,"4.095, 0.8",2224,103,pop not found,keep,,,,
,UCBERKELEY_TAU_6MM,,CTX_FUSIFORM_VOLUME,,<class 'numpy.float64'>,,"26688.0, 9510.0",2224,103,pop not found,keep,,,,
,UCBERKELEY_TAU_6MM,,CTX_INFERIORPARIETAL_SUVR,,<class 'numpy.float64'>,,"4.384, 0.807",2224,103,pop not found,keep,,,,
,UCBERKELEY_TAU_6MM,,CTX_INFERIORPARIETAL_VOLUME,,<class 'numpy.float64'>,,"37678.0, 12378.0",2224,103,pop not found,keep,,,,
,UCBERKELEY_TAU_6MM,,CTX_INFERIORTEMPORAL_SUVR,,<class 'numpy.float64'>,,"4.528, 0.803",2224,103,pop not found,keep,,,,
,UCBERKELEY_TAU_6MM,,CTX_INFERIORTEMPORAL_VOLUME,,<class 'numpy.float64'>,,"31454.0, 9660.0",2224,103,pop not found,keep,,,,
,UCBERKELEY_TAU_6MM,,CTX_LATERALOCCIPITAL_SUVR,,<class 'numpy.float64'>,,"5.025, 0.853",2224,103,pop not found,keep,,,,
,UCBERKELEY_TAU_6MM,,CTX_LATERALOCCIPITAL_VOLUME,,<class 'numpy.float64'>,,"35627.0, 9370.0",2224,103,pop not found,keep,,,,
,UCBERKELEY_TAU_6MM,,CTX_MIDDLETEMPORAL_SUVR,,<class 'numpy.float64'>,,"4.0, 0.793",2224,103,pop not found,keep,,,,
,UCBERKELEY_TAU_6MM,,CTX_MIDDLETEMPORAL_VOLUME,,<class 'numpy.float64'>,,"31685.0, 11213.0",2224,103,pop not found,keep,,,,
,UCBERKELEY_TAU_6MM,,CTX_PARAHIPPOCAMPAL_SUVR,,<class 'numpy.float64'>,,"3.196, 0.682",2224,103,pop not found,keep,,,,
,UCBERKELEY_TAU_6MM,,CTX_PARAHIPPOCAMPAL_VOLUME,,<class 'numpy.float64'>,,"5685.0, 1751.0",2224,103,pop not found,keep,,,,
,UCBERKELEY_TAU_6MM,,CTX_PRECUNEUS_SUVR,,<class 'numpy.float64'>,,"4.037, 0.638",2224,103,pop not found,keep,,,,
,UCBERKELEY_TAU_6MM,,CTX_PRECUNEUS_VOLUME,,<class 'numpy.float64'>,,"27581.0, 9272.0",2224,103,pop not found,keep,,,,
,UCBERKELEY_AMY_6MM,,RID,,<class 'numpy.int64'>,None,"10875.0, 21.0",4582,0,pop not found,keep,,,,
,UCBERKELEY_AMY_6MM,,VISCODE2,,<class 'str'>,"m126, m66, m90, m114, m84",None,4582,0,pop not found,keep,,,,
,UCBERKELEY_AMY_6MM,,SCANDATE,,<class 'str'>,"2017-05-18, 2017-02-17, 2019-02-19, 2021-03-18, 2019-10-29",None,4582,0,pop not found,keep,,,,
,UCBERKELEY_AMY_6MM,,TRACER,,<class 'str'>,"FBB, FBP, NAV",None,4582,0,pop not found,keep,,,,
,UCBERKELEY_AMY_6MM,,TRACER_SUVR_WARNING,,<class 'str'>,USE CENTILOIDS (NOT SUVRs) TO COMPARE ACROSS TRACERS,None,4582,0,pop not found,keep,,,,
,UCBERKELEY_AMY_6MM,,AMYLOID_STATUS,,<class 'numpy.float64'>,"0.0, 1.0, nan","1.0, 0.0",4500,82,pop not found,keep,,,,
,UCBERKELEY_AMY_6MM,,AMYLOID_STATUS_COMPOSITE_REF,,<class 'numpy.float64'>,"0.0, 1.0, nan","1.0, 0.0",4500,82,pop not found,keep,,,,
,UCBERKELEY_AMY_6MM,,CENTILOIDS,,<class 'numpy.float64'>,None,"346.0, -39.0",4568,14,pop not found,keep,,,,
,UCBERKELEY_AMY_6MM,,SUMMARY_SUVR,,<class 'numpy.float64'>,None,"2.842, 0.797",4568,14,pop not found,keep,,,,
,UCBERKELEY_AMY_6MM,,SUMMARY_VOLUME,,<class 'numpy.float64'>,None,"423018.0, 179914.0",4229,353,pop not found,keep,,,,
,UCBERKELEY_AMY_6MM,,CTX_ENTORHINAL_SUVR,,<class 'numpy.float64'>,None,"1.639, 0.505",4229,353,pop not found,keep,,,,
,UCBERKELEY_AMY_6MM,,CTX_ENTORHINAL_VOLUME,,<class 'numpy.float64'>,None,"6911.0, 746.0",4229,353,pop not found,keep,,,,
,UCBERKELEY_AMY_6MM,,CTX_INFERIORTEMPORAL_SUVR,,<class 'numpy.float64'>,None,"2.499, 0.804",4229,353,pop not found,keep,,,,
,UCBERKELEY_AMY_6MM,,CTX_INFERIORTEMPORAL_VOLUME,,<class 'numpy.float64'>,None,"31454.0, 8623.0",4229,353,pop not found,keep,,,,
,UCBERKELEY_TAUPVC_6MM,,RID,,<class 'numpy.int64'>,None,"10770.0, 21.0",2106,0,pop not found,keep,,,,
,UCBERKELEY_TAUPVC_6MM,,VISCODE2,,<class 'str'>,"m144, m150, m162, m156, m168",None,2106,0,pop not found,keep,,,,
,UCBERKELEY_TAUPVC_6MM,,SCANDATE,,<class 'str'>,"2018-02-02, 2018-04-24, 2019-04-23, 2018-02-20, 2019-01-10",None,2106,0,pop not found,keep,,,,
,UCBERKELEY_TAUPVC_6MM,,TRACER,,<class 'str'>,"FTP, MK6240, PI2620",None,2106,0,pop not found,keep,,,,
,UCBERKELEY_TAUPVC_6MM,,TRACER_SUVR_WARNING,,<class 'str'>,DO NOT COMPARE SUVRs ACROSS TRACERS,None,2106,0,pop not found,keep,,,,
,UCBERKELEY_TAUPVC_6MM,,CTX_ENTORHINAL_SUVR,,<class 'numpy.float64'>,None,"5.771, 0.602",2094,12,pop not found,keep,,,,
,UCBERKELEY_TAUPVC_6MM,,CTX_ENTORHINAL_VOLUME,,<class 'numpy.float64'>,None,"5946.0, 746.0",2094,12,pop not found,keep,,,,
,UCBERKELEY_TAUPVC_6MM,,CSF_SUVR,,<class 'numpy.float64'>,None,"0.844, 0.007",2092,14,pop not found,keep,,,,
,UCBERKELEY_TAUPVC_6MM,,CSF_VOLUME,,<class 'numpy.float64'>,None,"3763.0, 628.0",2094,12,pop not found,keep,,,,
,UCBERKELEY_TAUPVC_6MM,,CTX_FUSIFORM_SUVR,,<class 'numpy.float64'>,None,"8.054, 0.459",2094,12,pop not found,keep,,,,
,UCBERKELEY_TAUPVC_6MM,,CTX_FUSIFORM_VOLUME,,<class 'numpy.float64'>,None,"26688.0, 9510.0",2094,12,pop not found,keep,,,,
