file_name,file_code,parameter,variable_code,type_variable,classes,range,valid_values,missing_values,missing_pop,del
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,CDR,PET_CDR_BL,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,Visit,PET_DATE_BL,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,Visit,PET_SCANDATE,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,Other,PET_TYPE,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,Abeta,PIB_FSUVR_RSF_TOT_CORTMEAN,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,Abeta,PIB_FSUVR_RSF_TOT_CTX_PRECUNEUS,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,Abeta,PIB_FSUVR_RSF_TOT_HIPPOCAMPUS,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,Abeta,PIB_MSUVR_TOT_CORTMEAN,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,Abeta,PIB_MSUVR_TOT_PRECUNEUS,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,Ethnicity,RACE,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,Age,VISITAGE,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,visit,VISIT_DATE_BL,,,,,,,
Diagnostic Summary - Baseline Changes,BLCHANGE,ID,PTID,<class 'str'>,"022_S_0007, 100_S_0015, 023_S_0030, 023_S_0031, 022_S_0014",,15244.0,0.0,,0.0
Diagnostic Summary - Baseline Changes,BLCHANGE,Cohort,PHASE,<class 'str'>,"ADNI1, ADNIGO, ADNI2, ADNI3, ADNI4",,15244.0,0.0,,0.0
Diagnostic Summary - Baseline Changes,BLCHANGE,ID,RID,<class 'numpy.int64'>,,"10813.0, 2.0",15244.0,0.0,,0.0
Diagnostic Summary - Baseline Changes,BLCHANGE,Visit,VISCODE2,<class 'str'>,"bl', 'm06', 'm12', 'uns1', 'm18', 'm24', 'm36', 'm48', 'm60','m72', 'sc', 'm84',",,15244.0,0.0,,0.0
Diagnostic Summary - Baseline Changes,BLCHANGE,Visit,EXAMDATE,<class 'str'>,"2005-10-06, 2005-10-19, 2005-10-20, 2005-10-24, 2005-11-04",,15103.0,141.0,,0.0
Diagnostic Summary - Baseline Changes,BLCHANGE,Diagnosi,BCPREDX,<class 'numpy.float64'>,"-4.0, 2.0, 1.0, 3.0, nan","3.0, -4.0",4217.0,11027.0,"ADNI2, ADNI3, ADNI4",1.0
Diagnostic Summary - Baseline Changes,BLCHANGE,ADAS,BCADAS,<class 'numpy.float64'>,"-4.0, 0.0, 1.0, -1.0, nan","1.0, -4.0",10184.0,5060.0,,0.0
Diagnostic Summary - Baseline Changes,BLCHANGE,MMSE,BCMMSE,<class 'numpy.float64'>,"-4.0, 1.0, 0.0, -1.0, nan","1.0, -4.0",10202.0,5042.0,,0.0
Diagnostic Summary - Baseline Changes,BLCHANGE,MMSE,BCMMSREC,<class 'numpy.float64'>,"-4.0, 1.0, 0.0, -1.0, nan","1.0, -4.0",10200.0,5044.0,,0.0
Diagnostic Summary - Baseline Changes,BLCHANGE,MMSE,BCNMMMS,<class 'numpy.float64'>,"-4.0, 1.0, 0.0, -1.0, nan","1.0, -4.0",10197.0,5047.0,,0.0
Diagnostic Summary - Baseline Changes,BLCHANGE,Other,BCNEUPSY,<class 'numpy.float64'>,"-4.0, 1.0, 0.0, -1.0, nan","1.0, -4.0",10195.0,5049.0,,0.0
Diagnostic Summary - Baseline Changes,BLCHANGE,Other,BCNONMEM,<class 'numpy.float64'>,"-4.0, 0.0, 1.0, -1.0, nan","1.0, -4.0",10193.0,5051.0,,0.0
Diagnostic Summary - Baseline Changes,BLCHANGE,FAQ,BCFAQ,<class 'numpy.float64'>,"-4.0, 0.0, 1.0, -1.0, nan","1.0, -4.0",10210.0,5034.0,,0.0
