file_name,file_code,parameter,orig_variable_code,variable_code,type_variable,classes,range,valid_values,missing_values,missing_pop,del,Metadati_fattori
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,Ethnicity,RACE,RACE,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,Age,VISITAGE,VISITAGE,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,visit,VISIT_DATE_BL,VISIT_DATE_BL,,,,,,,,
Diagnostic Summary - Baseline Changes,BLCHANGE,ID,PTID,PTID,<class 'str'>,"023_S_0030, 023_S_0031, 100_S_0015, 022_S_0007, 011_S_0002",,9453.0,0.0,,False,
Diagnostic Summary - Baseline Changes,BLCHANGE,Cohort,PHASE,COHORT,<class 'str'>,"ADNI1, ADNIGO, ADNI2, ADNI3, ADNI4",,9453.0,0.0,,False,
Diagnostic Summary - Baseline Changes,BLCHANGE,ID,RID,RID,<class 'numpy.int64'>,,,9453.0,0.0,,False,
Diagnostic Summary - Baseline Changes,BLCHANGE,Visit,VISCODE2,VISCODE,<class 'numpy.int64'>,,,9453.0,0.0,,False,
Diagnostic Summary - Baseline Changes,BLCHANGE,Visit,EXAMDATE,EXAMDATE,<class 'datetime.date'>,,,9452.0,1.0,,False,
Diagnostic Summary - Baseline Changes,BLCHANGE,Diagnosi,BCPREDX,BCPREDX,<class 'numpy.int64'>,"1, 0, 2, <NA>",,3397.0,6056.0,"ADNI2, ADNI3, ADNI4",True,
Diagnostic Summary - Baseline Changes,BLCHANGE,ADAS,BCADAS,ADAS,<class 'numpy.float64'>,"0.0, 1.0, -1.0, nan",,9429.0,24.0,,False,predittore
Diagnostic Summary - Baseline Changes,BLCHANGE,MMSE,BCMMSE,MMSE,<class 'numpy.float64'>,"1.0, 0.0, -1.0, nan",,9447.0,6.0,,False,predittore
Diagnostic Summary - Baseline Changes,BLCHANGE,MMSE,BCMMSREC,MMSREC,<class 'numpy.float64'>,"1.0, 0.0, -1.0, nan",,9445.0,8.0,,False,predittore
Diagnostic Summary - Baseline Changes,BLCHANGE,MMSE,BCNMMMS,BCNMMMS,<class 'numpy.float64'>,"1.0, 0.0, -1.0, nan",,9442.0,11.0,,False,predittore
Diagnostic Summary - Baseline Changes,BLCHANGE,Other,BCNEUPSY,BCNEUPSY,<class 'numpy.float64'>,"1.0, 0.0, -1.0, nan",,9435.0,18.0,,False,predittore
Diagnostic Summary - Baseline Changes,BLCHANGE,Other,BCNONMEM,BCNONMEM,<class 'numpy.float64'>,"0.0, 1.0, -1.0, nan",,9434.0,19.0,,False,predittore
Diagnostic Summary - Baseline Changes,BLCHANGE,FAQ,BCFAQ,FAQ,<class 'numpy.float64'>,"0.0, 1.0, -1.0, nan",,9420.0,33.0,,False,predittore
Diagnostic Summary - Baseline Changes,BLCHANGE,Other,BCDEPRES,BCDEPRES,<class 'numpy.float64'>,"0.0, 1.0, nan",,9449.0,4.0,,False,predittore
