file_name,file_code,parameter,orig_variable_code,variable_code,Unit,type_variable,classes,range,valid_values,missing_values,missing_pop,del,metadati_fattori,metadati_normalizzazione
Diagnostic Summary - Baseline Changes,BLCHANGE,CDR,BCCDR,CDR,,,,,,,,keep,predittore,scala
Diagnostic Summary - Baseline Changes,BLCHANGE,Visit,,VISIT_MONTH,,,,,,,,keep,,
Participant Demographic Information,PTDEMOG,ID,PTID,PTID,,,,,,,,keep,,
Participant Demographic Information,PTDEMOG,Cohort,PHASE,COHORT,,,,,,,,keep,,
Participant Demographic Information,PTDEMOG,ID,RID,RID,,,,,,,,keep,,
Participant Demographic Information,PTDEMOG,Visit,VISDATE,VISDATE,,,,,,,,keep,,
Participant Demographic Information,PTDEMOG,Age,PTDOB,PTDOB,,,,,,,,keep,,
Participant Demographic Information,PTDEMOG,Education,PTEDUCAT,EDUCAT,,,,,,,,keep,cofattore,
Participant Demographics,PTDEMOG,Age,PTDOBYY,PTDOBYY,,,,,,,,keep,,
Participant Demographic Information,PTDEMOG,Age,,AGE,,,,,,,,keep,,
Participant Demographic Information,PTDEMOG,Visit,,VISIT_MONTH,,,,,,,,keep,,
Participant Demographic Information,PTDEMOG,Sex,['PTGENDER'],GENDER/female,,,,,,,,keep,cofattore,
Participant Demographic Information,PTDEMOG,Sex,['PTGENDER'],GENDER/male,,,,,,,,keep,cofattore,
Participant Demographic Information,PTDEMOG,Marry,['PTMARRY'],MARRY/divorced,,,,,,,,keep,cofattore,
Participant Demographic Information,PTDEMOG,Marry,['PTMARRY'],MARRY/married,,,,,,,,keep,cofattore,
Participant Demographic Information,PTDEMOG,Marry,['PTMARRY'],MARRY/single,,,,,,,,keep,cofattore,
Participant Demographic Information,PTDEMOG,Marry,['PTMARRY'],MARRY/widowed,,,,,,,,keep,cofattore,
Participant Demographic Information,PTDEMOG,Ethnicity,['PTETHCAT'],ETHNICITY/latino,,,,,,,,keep,cofattore,
Participant Demographic Information,PTDEMOG,Ethnicity,['PTETHCAT'],ETHNICITY/not_latino,,,,,,,,keep,cofattore,
Participant Demographic Information,PTDEMOG,Ethnicity,['PTRACCAT'],RACE/Asian,,,,,,,,keep,cofattore,
Participant Demographic Information,PTDEMOG,Ethnicity,['PTRACCAT'],RACE/Black,,,,,,,,keep,cofattore,
Participant Demographic Information,PTDEMOG,Ethnicity,['PTRACCAT'],RACE/Mixed,,,,,,,,keep,cofattore,
Participant Demographic Information,PTDEMOG,Ethnicity,['PTRACCAT'],RACE/Native_american,,,,,,,,keep,cofattore,
Participant Demographic Information,PTDEMOG,Ethnicity,['PTRACCAT'],RACE/White,,,,,,,,keep,cofattore,
Mini Mental State Exam,MMSE,ID,PTID,PTID,,,,,,,,keep,,
Mini Mental State Exam,MMSE,Cohort,PHASE,COHORT,,,,,,,,keep,,
Mini Mental State Exam,MMSE,ID,RID,RID,,,,,,,,keep,,
Mini Mental State Exam,MMSE,Visit,VISDATE,VISDATE,,,,,,,,keep,,
Mini Mental State Exam,MMSE,MMSE,MMSCORE,MMSE,,,,,,,,keep,predittore,scala
Mini Mental State Exam,MMSE,Visit,,VISIT_MONTH,,,,,,,,keep,,
Diagnostic Summary,DXSUM,ID,PTID,PTID,,,,,,,,keep,,
Diagnostic Summary,DXSUM,Cohort,PHASE,COHORT,,,,,,,,keep,,
Diagnostic Summary,DXSUM,ID,RID,RID,,,,,,,,keep,,
Diagnostic Summary,DXSUM,Visit,EXAMDATE,EXAMDATE,,,,,,,,keep,,
Diagnostic Summary,DXSUM,Diagnosi,DXCONFID,DXCONFID,,,,,,,,keep,,
Diagnostic Summary,DXSUM,Visit,,VISIT_MONTH,,,,,,,,keep,,
Diagnostic Summary,DXSUM,Diagnosi,"['DXCONFID', 'DIAGNOSIS']",DX/CN,,,,,,,,keep,,
Diagnostic Summary,DXSUM,Diagnosi,"['DXCONFID', 'DIAGNOSIS']",DX/Dementia,,,,,,,,keep,,
Diagnostic Summary,DXSUM,Diagnosi,"['DXCONFID', 'DIAGNOSIS']",DX/MCI,,,,,,,,keep,,
UCSF - ADNI-1 3T Cross-Sectional FreeSurfer (5.1) [ADNI1],UCSFFSX51_ADNI1_3T,ID,RID,RID,,,,,,,,keep,,
UCSF - ADNI-1 3T Cross-Sectional FreeSurfer (5.1) [ADNI1],UCSFFSX51_ADNI1_3T,Visit,EXAMDATE,EXAMDATE,,,,,,,,keep,,
UCSF - ADNI-1 3T Cross-Sectional FreeSurfer (5.1) [ADNI1],UCSFFSX51_ADNI1_3T,Other,STATUS,STATUS,,,,,,,,keep,,
UCSF - ADNI-1 3T Cross-Sectional FreeSurfer (5.1) [ADNI1],UCSFFSX51_ADNI1_3T,Volume,ST37SV,LVentricle,mm3,,,,,,,keep,predittore,volume
UCSF - ADNI-1 3T Cross-Sectional FreeSurfer (5.1) [ADNI1],UCSFFSX51_ADNI1_3T,Volume,ST10CV,ICV,mm3,,,,,,,keep,predittore,volume
UCSF - ADNI-1 3T Cross-Sectional FreeSurfer (5.1) [ADNI1],UCSFFSX51_ADNI1_3T,Volume,ST24CV,LEntorhinal,mm3,,,,,,,keep,predittore,volume
UCSF - ADNI-1 3T Cross-Sectional FreeSurfer (5.1) [ADNI1],UCSFFSX51_ADNI1_3T,Volume,ST26CV,LFusiform,mm3,,,,,,,keep,predittore,volume
UCSF - ADNI-1 3T Cross-Sectional FreeSurfer (5.1) [ADNI1],UCSFFSX51_ADNI1_3T,Volume,ST29SV,LHippocampus,mm3,,,,,,,keep,predittore,volume
UCSF - ADNI-1 3T Cross-Sectional FreeSurfer (5.1) [ADNI1],UCSFFSX51_ADNI1_3T,Volume,ST40CV,LMidTemp,mm3,,,,,,,keep,predittore,volume
UCSF - ADNI-1 3T Cross-Sectional FreeSurfer (5.1) [ADNI1],UCSFFSX51_ADNI1_3T,Volume,ST96SV,RVentricle,mm3,,,,,,,keep,predittore,volume
UCSF - ADNI-1 3T Cross-Sectional FreeSurfer (5.1) [ADNI1],UCSFFSX51_ADNI1_3T,Volume,ST83CV,REntorhinal,mm3,,,,,,,keep,predittore,volume
UCSF - ADNI-1 3T Cross-Sectional FreeSurfer (5.1) [ADNI1],UCSFFSX51_ADNI1_3T,Volume,ST85CV,RFusiform,mm3,,,,,,,keep,predittore,volume
UCSF - ADNI-1 3T Cross-Sectional FreeSurfer (5.1) [ADNI1],UCSFFSX51_ADNI1_3T,Volume,ST88SV,RHippocampus,mm3,,,,,,,keep,predittore,volume
UCSF - ADNI-1 3T Cross-Sectional FreeSurfer (5.1) [ADNI1],UCSFFSX51_ADNI1_3T,Volume,ST99CV,RMidTemp,mm3,,,,,,,keep,predittore,volume
UCSF - ADNI-1 3T Cross-Sectional FreeSurfer (5.1) [ADNI1],UCSFFSX51_ADNI1_3T,Visit,,VISIT_MONTH,,,,,,,,keep,,
"UCSF - Cross-Sectional FreeSurfer (5.1) [ADNI1,GO,2]",UCSFFSX51,ID,RID,RID,,,,,,,,keep,,
"UCSF - Cross-Sectional FreeSurfer (5.1) [ADNI1,GO,2]",UCSFFSX51,Cohort,COLPROT,COHORT,,,,,,,,keep,,
"UCSF - Cross-Sectional FreeSurfer (5.1) [ADNI1,GO,2]",UCSFFSX51,Visit,EXAMDATE,EXAMDATE,,,,,,,,keep,,
"UCSF - Cross-Sectional FreeSurfer (5.1) [ADNI1,GO,2]",UCSFFSX51,Volume,ST37SV,LVentricle,mm3,,,,,,,keep,predittore,volume
"UCSF - Cross-Sectional FreeSurfer (5.1) [ADNI1,GO,2]",UCSFFSX51,Volume,ST10CV,ICV,mm3,,,,,,,keep,predittore,volume
"UCSF - Cross-Sectional FreeSurfer (5.1) [ADNI1,GO,2]",UCSFFSX51,Volume,ST24CV,LEntorhinal,mm3,,,,,,,keep,predittore,volume
"UCSF - Cross-Sectional FreeSurfer (5.1) [ADNI1,GO,2]",UCSFFSX51,Volume,ST26CV,LFusiform,mm3,,,,,,,keep,predittore,volume
"UCSF - Cross-Sectional FreeSurfer (5.1) [ADNI1,GO,2]",UCSFFSX51,Volume,ST29SV,LHippocampus,mm3,,,,,,,keep,predittore,volume
"UCSF - Cross-Sectional FreeSurfer (5.1) [ADNI1,GO,2]",UCSFFSX51,Volume,ST40CV,LMidTemp,mm3,,,,,,,keep,predittore,volume
"UCSF - Cross-Sectional FreeSurfer (5.1) [ADNI1,GO,2]",UCSFFSX51,Volume,ST96SV,RVentricle,mm3,,,,,,,keep,predittore,volume
"UCSF - Cross-Sectional FreeSurfer (5.1) [ADNI1,GO,2]",UCSFFSX51,Volume,ST83CV,REntorhinal,mm3,,,,,,,keep,predittore,volume
"UCSF - Cross-Sectional FreeSurfer (5.1) [ADNI1,GO,2]",UCSFFSX51,Volume,ST85CV,RFusiform,mm3,,,,,,,keep,predittore,volume
"UCSF - Cross-Sectional FreeSurfer (5.1) [ADNI1,GO,2]",UCSFFSX51,Volume,ST88SV,RHippocampus,mm3,,,,,,,keep,predittore,volume
"UCSF - Cross-Sectional FreeSurfer (5.1) [ADNI1,GO,2]",UCSFFSX51,Volume,ST99CV,RMidTemp,mm3,,,,,,,keep,predittore,volume
"UCSF - Cross-Sectional FreeSurfer (5.1) [ADNI1,GO,2]",UCSFFSX51,,,VISIT_MONTH,,,,,,,,keep,,
UCSF - Cross-Sectional FreeSurfer (6.0) [ADNI3],UCSFFSX6,ID,RID,RID,,,,,,,,keep,,
UCSF - Cross-Sectional FreeSurfer (6.0) [ADNI3],UCSFFSX6,Cohort,PHASE,PHASE,,,,,,,,keep,,
UCSF - Cross-Sectional FreeSurfer (6.0) [ADNI3],UCSFFSX6,Visit,EXAMDATE,EXAMDATE,,,,,,,,keep,,
UCSF - Cross-Sectional FreeSurfer (6.0) [ADNI3],UCSFFSX6,Other,STATUS,STATUS,,,,,,,,keep,,
UCSF - Cross-Sectional FreeSurfer (6.0) [ADNI3],UCSFFSX6,Volume,ST37SV,LVentricle,mm3,,,,,,,keep,predittore,volume
UCSF - Cross-Sectional FreeSurfer (6.0) [ADNI3],UCSFFSX6,Volume,ST10CV,ICV,mm3,,,,,,,keep,predittore,volume
UCSF - Cross-Sectional FreeSurfer (6.0) [ADNI3],UCSFFSX6,Volume,ST24CV,LEntorhinal,mm3,,,,,,,keep,predittore,volume
UCSF - Cross-Sectional FreeSurfer (6.0) [ADNI3],UCSFFSX6,Volume,ST26CV,LFusiform,mm3,,,,,,,keep,predittore,volume
UCSF - Cross-Sectional FreeSurfer (6.0) [ADNI3],UCSFFSX6,Volume,ST29SV,LHippocampus,mm3,,,,,,,keep,predittore,volume
UCSF - Cross-Sectional FreeSurfer (6.0) [ADNI3],UCSFFSX6,Volume,ST40CV,LMidTemp,mm3,,,,,,,keep,predittore,volume
UCSF - Cross-Sectional FreeSurfer (6.0) [ADNI3],UCSFFSX6,Volume,ST96SV,RVentricle,mm3,,,,,,,keep,predittore,volume
UCSF - Cross-Sectional FreeSurfer (6.0) [ADNI3],UCSFFSX6,Volume,ST83CV,REntorhinal,mm3,,,,,,,keep,predittore,volume
UCSF - Cross-Sectional FreeSurfer (6.0) [ADNI3],UCSFFSX6,Volume,ST85CV,RFusiform,mm3,,,,,,,keep,predittore,volume
UCSF - Cross-Sectional FreeSurfer (6.0) [ADNI3],UCSFFSX6,Volume,ST88SV,RHippocampus,mm3,,,,,,,keep,predittore,volume
UCSF - Cross-Sectional FreeSurfer (6.0) [ADNI3],UCSFFSX6,Volume,ST99CV,RMidTemp,mm3,,,,,,,keep,predittore,volume
UCSF - Cross-Sectional FreeSurfer (6.0) [ADNI3],UCSFFSX6,Visit,,VISIT_MONTH,,,,,,,,keep,,
"UCSF - Cross-Sectional FreeSurfer (7.x) [ADNI1,GO,2,3,4]",UCSFFSX7,ID,RID,RID,,,,,,,,keep,,
"UCSF - Cross-Sectional FreeSurfer (7.x) [ADNI1,GO,2,3,4]",UCSFFSX7,Cohort,PHASE,PHASE,,,,,,,,keep,,
"UCSF - Cross-Sectional FreeSurfer (7.x) [ADNI1,GO,2,3,4]",UCSFFSX7,Visit,EXAMDATE,EXAMDATE,,,,,,,,keep,,
"UCSF - Cross-Sectional FreeSurfer (7.x) [ADNI1,GO,2,3,4]",UCSFFSX7,Other,STATUS,STATUS,,,,,,,,keep,,
"UCSF - Cross-Sectional FreeSurfer (7.x) [ADNI1,GO,2,3,4]",UCSFFSX7,Volume,ST37SV,LVentricle,mm3,,,,,,,keep,predittore,volume
"UCSF - Cross-Sectional FreeSurfer (7.x) [ADNI1,GO,2,3,4]",UCSFFSX7,Volume,ST10CV,ICV,mm3,,,,,,,keep,predittore,volume
"UCSF - Cross-Sectional FreeSurfer (7.x) [ADNI1,GO,2,3,4]",UCSFFSX7,Volume,ST24CV,LEntorhinal,mm3,,,,,,,keep,predittore,volume
"UCSF - Cross-Sectional FreeSurfer (7.x) [ADNI1,GO,2,3,4]",UCSFFSX7,Volume,ST26CV,LFusiform,mm3,,,,,,,drop,predittore,volume
"UCSF - Cross-Sectional FreeSurfer (7.x) [ADNI1,GO,2,3,4]",UCSFFSX7,Volume,ST29SV,LHippocampus,mm3,,,,,,,keep,predittore,volume
"UCSF - Cross-Sectional FreeSurfer (7.x) [ADNI1,GO,2,3,4]",UCSFFSX7,Volume,ST40CV,LMidTemp,mm3,,,,,,,keep,predittore,volume
"UCSF - Cross-Sectional FreeSurfer (7.x) [ADNI1,GO,2,3,4]",UCSFFSX7,Volume,ST96SV,RVentricle,mm3,,,,,,,keep,predittore,volume
"UCSF - Cross-Sectional FreeSurfer (7.x) [ADNI1,GO,2,3,4]",UCSFFSX7,Volume,ST83CV,REntorhinal,mm3,,,,,,,keep,predittore,volume
"UCSF - Cross-Sectional FreeSurfer (7.x) [ADNI1,GO,2,3,4]",UCSFFSX7,Volume,ST85CV,RFusiform,mm3,,,,,,,drop,predittore,volume
"UCSF - Cross-Sectional FreeSurfer (7.x) [ADNI1,GO,2,3,4]",UCSFFSX7,Volume,ST88SV,RHippocampus,mm3,,,,,,,keep,predittore,volume
"UCSF - Cross-Sectional FreeSurfer (7.x) [ADNI1,GO,2,3,4]",UCSFFSX7,Volume,ST99CV,RMidTemp,mm3,,,,,,,keep,predittore,volume
"UCSF - Cross-Sectional FreeSurfer (7.x) [ADNI1,GO,2,3,4]",UCSFFSX7,Visit,,VISIT_MONTH,,,,,,,,keep,,
"UCSF - Cross-Sectional FreeSurfer (FreeSurfer Version 4.3) [ADNI1,GO,2]",UCSFFSX,ID,RID,RID,,,,,,,,keep,,
"UCSF - Cross-Sectional FreeSurfer (FreeSurfer Version 4.3) [ADNI1,GO,2]",UCSFFSX,Visit,EXAMDATE,EXAMDATE,,,,,,,,keep,,
"UCSF - Cross-Sectional FreeSurfer (FreeSurfer Version 4.3) [ADNI1,GO,2]",UCSFFSX,Other,STATUS,STATUS,,,,,,,,keep,,
"UCSF - Cross-Sectional FreeSurfer (FreeSurfer Version 4.3) [ADNI1,GO,2]",UCSFFSX,Volume,ST37SV,LVentricle,mm3,,,,,,,keep,predittore,volume
"UCSF - Cross-Sectional FreeSurfer (FreeSurfer Version 4.3) [ADNI1,GO,2]",UCSFFSX,Volume,ST10CV,ICV,mm3,,,,,,,keep,predittore,volume
"UCSF - Cross-Sectional FreeSurfer (FreeSurfer Version 4.3) [ADNI1,GO,2]",UCSFFSX,Volume,ST24CV,LEntorhinal,mm3,,,,,,,keep,predittore,volume
"UCSF - Cross-Sectional FreeSurfer (FreeSurfer Version 4.3) [ADNI1,GO,2]",UCSFFSX,Volume,ST26CV,LFusiform,mm3,,,,,,,keep,predittore,volume
"UCSF - Cross-Sectional FreeSurfer (FreeSurfer Version 4.3) [ADNI1,GO,2]",UCSFFSX,Volume,ST29SV,LHippocampus,mm3,,,,,,,keep,predittore,volume
"UCSF - Cross-Sectional FreeSurfer (FreeSurfer Version 4.3) [ADNI1,GO,2]",UCSFFSX,Volume,ST40CV,LMidTemp,mm3,,,,,,,keep,predittore,volume
"UCSF - Cross-Sectional FreeSurfer (FreeSurfer Version 4.3) [ADNI1,GO,2]",UCSFFSX,Volume,ST96SV,RVentricle,mm3,,,,,,,keep,predittore,volume
"UCSF - Cross-Sectional FreeSurfer (FreeSurfer Version 4.3) [ADNI1,GO,2]",UCSFFSX,Volume,ST83CV,REntorhinal,mm3,,,,,,,keep,predittore,volume
"UCSF - Cross-Sectional FreeSurfer (FreeSurfer Version 4.3) [ADNI1,GO,2]",UCSFFSX,Volume,ST85CV,RFusiform,mm3,,,,,,,keep,predittore,volume
"UCSF - Cross-Sectional FreeSurfer (FreeSurfer Version 4.3) [ADNI1,GO,2]",UCSFFSX,Volume,ST88SV,RHippocampus,mm3,,,,,,,keep,predittore,volume
"UCSF - Cross-Sectional FreeSurfer (FreeSurfer Version 4.3) [ADNI1,GO,2]",UCSFFSX,Volume,ST99CV,RMidTemp,mm3,,,,,,,keep,predittore,volume
"UCSF - Cross-Sectional FreeSurfer (FreeSurfer Version 4.3) [ADNI1,GO,2]",UCSFFSX,Visit,,VISIT_MONTH,,,,,,,,keep,,
