file_name,file_code,parameter,orig_variable_code,variable_code,Unità,type_variable,classes,range,valid_values,missing_values,missing_pop,del,metadati_fattori,metadati_normalizzazione,Unnamed: 4
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Abeta,PHC_SCeNS_AB42_Score,PHC_SCeNS_AB42_Score,,<class 'numpy.float64'>,,"93.9784578531717, -62.6428271053293",1236.0,9.0,"ADNI3, ADNI4",False,predittore,intervallo,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Tau,PHC_SCeNS_pTau_Score,PHC_SCeNS_pTau_Score,,<class 'numpy.float64'>,,"93.6386452771735, -100.0",1236.0,9.0,"ADNI3, ADNI4",False,predittore,intervallo,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,AT,AT_class,AT_class,,<class 'numpy.float64'>,"2.0, 0.0, 3.0, 1.0, nan","3.0, 0.0",1236.0,9.0,"ADNI3, ADNI4",False,predittore,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Age,PHC_Age_Biomarker,AGE,,<class 'numpy.float64'>,,"95.76, 54.76",1245.0,0.0,"ADNI3, ADNI4",False,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,,,VISIT_MONTH,,<class 'numpy.int64'>,0,"0.0, 0.0",1245.0,0.0,"ADNI3, ADNI4",False,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,,,DRAWDATE,,<class 'datetime.date'>,,,1245.0,0.0,"ADNI3, ADNI4",False,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,,,VISIT_MONTH,,,,,,,,,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,,,DRAWDATE,,,,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,ID,RID,RID,,,,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,visit,VISCODE,VISCODE,,,,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,Age,BIRTHYR,BIRTHYR,,,,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,CDR,CDRGLOB,CDRGLOB,,,,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,CDR,CDRSUM,CDRSUM,,,,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,CDR,CDR_BASELINE,CDR_BASELINE,,,,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,Other,CORT,CORT,,,,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,Visit,CSFDATE,CSFDATE,,,,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,CDR,CSF_CDRSB_BL,CSF_CDRSB_BL,,,,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,CDR,CSF_CDR_BL,CSF_CDR_BL,,,,,,,,,,,
